num,title,topic,avatar,voice,head_corner,runtime_sec,full_vo,cta_overlay,caption,hashtags,compliance_footer
11,Your First DWI — Here's What Actually Happens,First-Offense Roadmap,Njeri,"speed 0.97×, tone *steady, hand-on-shoulder, calming*",Top-right,31,"First DWI? Your brain is screaming worst-case. [pause] Here's the *real* sequence. (beat) You're booked and released on bond. You have fifteen days to protect your license. The criminal charge usually gets filed thirty to sixty days later. Then comes your first court setting. [pause] None of it is the end of your life — but the early moves matter most. The earlier we start, the more options you keep.",First offense? Start here → (972) 370-5060,What *actually* happens after a first DWI 🧭,#firstoffense #dwi #texas #dwilawyer #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
12,You'll Reach an Attorney. Not a Call Center.,Firm Differentiator,Reggie or Njeri (alternate),"speed 0.98×, tone *warm, human, welcoming*",Top-left,30,"Call most firms after an arrest and you get a menu, a screener, a 'someone will call you back.' [pause] Call us — and an actual licensed attorney picks up. (beat) We'll ask what happened, read the report right there on the phone, and before we hang up you'll know your realistic punishment range, the first three moves we'd make, and a flat fee in writing. [pause] No pressure. Sleep on it. That's how it should work.","Talk to a real attorney, free → (972) 370-5060",A human answers. Imagine that ☎️,#criminaldefense #lawyer #frisco #dallas #freeconsultation,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
13,It's Not 'Just' Possession,Drug Crimes / Penalty Groups,Njeri,"speed 0.97×, tone *sobering, serious, measured*",Bottom-left,30,"In Texas, 'just possession' can still be a felony. [pause] The state sorts substances into penalty groups, and the charge scales with the group *and* the weight — and they count the whole mixture, not just the drug. (beat) Possession, delivery, even alleged intent — each is a different fight. [pause] Don't assume it's minor because the amount feels small. The label on the charge is where we start cutting.",Drug charge in DFW? → (972) 370-5060,"""Just possession"" is rarely just possession ⚖️",#drugcharges #texas #criminaldefense #penaltygroup #dallaslawyer,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
14,Why Family Violence Charges Hit Harder,Assault / Family Violence,Njeri,"speed 0.96×, tone *serious, protective, grave*",Top-right,30,"An assault–family-violence charge is more than the case in front of you. [pause] That label can follow you into your gun rights, your job, your housing, future enhancements — even after the case is 'over.' (beat) The bond conditions alone can lock you out of your own home. [pause] This is exactly the kind of charge where the *finding* matters as much as the outcome. We fight both.",Accused of family violence? → (972) 370-5060,It's the label that follows you 🏠,#familyviolence #assault #texas #criminaldefense #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
15,Don't Let a Mistake Define a Kid's Future,Juvenile Defense,Njeri,"speed 0.97×, tone *compassionate, parent-to-parent, warm*",Top-left,31,"When it's your child, every instinct says panic. [pause] Take a breath. (beat) In Texas, juvenile cases run on different rules — and many records can be sealed so a teenage mistake doesn't shadow college applications, jobs, or scholarships. [pause] The goal isn't just this case. It's protecting every door that's supposed to open later. That's the whole point of doing this right, early.",Protect your child's record → (972) 370-5060,A teenage mistake shouldn't cost the future 🎓,#juveniledefense #texas #parenting #criminaldefense #secondchance,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
16,You Don't Have to Sit in Jail,Bond Reduction,Reggie,"speed 1.0×, tone *action-oriented, urgent-but-calm*",Bottom-right (relocate captions to upper-center),29,"Bond set too high to pay? [pause] That number is not carved in stone. (beat) We can request a bond reduction hearing and argue the things that actually move a judge — ties to the community, no flight risk, the real facts of the case. [pause] Every day someone sits in jail is a day they can't help their own defense. So we move fast. The clock matters here too.",Loved one stuck on high bond? → (972) 370-5060,That bond number can come down ⬇️,#bondreduction #jail #texas #criminaldefense #dallas,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
17,Free Tools Before You Even Hire Us,Calculators / Value,Reggie,"speed 1.0×, tone *generous, upbeat, ""try it yourself""*",Top-left,30,"Before you ever call a lawyer, you deserve to know what you're facing. [pause] So we built it free. (beat) Six calculators on our site — punishment ranges for any Texas charge, DWI bond estimates, even an expunction eligibility checker. [pause] No signup. No email wall. Plug in your situation and see the real range. Then, if you want a human to make sense of it, we're one call away.",Free tools at landllawgroup.com · Questions? (972) 370-5060,"Free legal calculators, zero signup 🧮",#legaltools #texas #dwi #expunction #criminaldefense,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
18,Should I Just Explain My Side to the Police?,Right to Remain Silent,Reggie,"speed 0.98×, tone *direct, protective, level*",Bottom-left,30,"The most dangerous sentence after an arrest: *'I'll just explain my side and clear this up.'* [pause] I get the instinct. (beat) But that conversation isn't a clarification — it's evidence collection. [pause] You can be respectful and *still* say, *'I want a lawyer, and I'm not answering questions.'* That's not suspicious. It's smart. Let us explain your side — in the place where it actually helps you.","Before you talk to police, call us → (972) 370-5060","""Explaining your side"" is a trap 🤐",#knowyourrights #remainsilent #criminaldefense #texas #lawyer,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
19,What Refusing the Breath Test Really Costs,DWI Refusal,Reggie,"speed 0.99×, tone *real-talk, honest, no scare-mongering*",Top-left,31,"Refused the breath or blood test? Here's the honest version. [pause] A refusal can trigger a longer license suspension — and a failed test triggers its own. (beat) *But* — that suspension isn't automatic if you fight the ALR hearing in time. [pause] At that hearing we can challenge the stop, the request for a sample, the whole basis. Refusing isn't the end of the story. Missing the deadline is.",Refused the test? 15-day clock is running → (972) 370-5060,What refusal actually costs (and how to fight it) 💨,#dwi #breathtest #alr #texas #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
20,Surviving the Ignition Interlock,IID Guide,Njeri,"speed 0.99×, tone *practical, matter-of-fact, helpful*",Top-right,32,"If a judge orders an ignition interlock, the rules are strict and the traps are real. [pause] You usually have thirty days to install it. (beat) It's mandatory for repeat offenses, a high BAC, or an accident with injury. [pause] And a single technical violation — even a false reading — can land you back in front of the judge. If your license is suspended, we can also pursue an occupational license so you keep getting to work. Compliance *and* mobility — both matter.",Interlock or license questions? → (972) 370-5060,Don't let the interlock revoke your bond 🚙,#dwi #ignitioninterlock #texas #occupationallicense #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
21,Federal Charges Are a Different Animal,Federal Defense,Reggie,"speed 0.95×, tone *gravely serious, weighty, deliberate*",Top-left,31,"If your case went *federal*, throw out the state playbook. [pause] Different court, different prosecutors, different math — federal sentencing runs on guidelines, and the government usually shows up prepared and patient. (beat) This is where mitigation, early strategy, and someone admitted in the Northern and Eastern Districts of Texas actually matters. [pause] The stakes are higher, so the defense has to start sharper, sooner.",Federal investigation or charge? → (972) 370-5060,Federal ≠ state. Don't bring a knife. 🏛️,#federalcrime #txnd #txed #criminaldefense #texas,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
22,The First Three Moves We Make,Process / Credibility,Reggie,"speed 1.0×, tone *confident, brisk, momentum-driven*","Top-center, small",29,"People think hiring a lawyer means 'now we wait.' [pause] Not here. (beat) Week one: we request discovery and get the State's evidence on the table. We build the defense theory — what actually happened versus what they claim. And we outline the first motion. [pause] By the time most people are still panicking, your file is already *moving.* Momentum is a strategy.",Get your case moving → (972) 370-5060,What we do in the FIRST week ⚡,#criminaldefense #lawyer #texas #legalstrategy #dallas,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
23,Theft Charges Scale With the Price Tag,Theft Defense,Njeri,"speed 0.98×, tone *clarifying, measured, informative*",Bottom-left,30,"Texas theft law has a dial — and it's the dollar value. [pause] A low amount might be a ticket-level offense; cross the thresholds and you're staring at a felony, for the *same kind* of act. (beat) And theft is a 'crime of moral turpitude' — it can haunt job and license applications for years. [pause] So we fight on two fronts: the facts of the case *and* the value tier they're trying to pin on you.",Theft or shoplifting charge? → (972) 370-5060,The price tag decides your charge 🏷️,#theft #shoplifting #texas #criminaldefense #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
24,Arrested Tonight? Do This.,24/7 Jail-Release,Reggie or Njeri (alternate),"speed 0.98×, tone *calm command, midnight-emergency, steady and reassuring*",Top-right,30,"It's the middle of the night, someone you love just got arrested, and you don't know what to do. [pause] Three things. (beat) One — they should stay silent; no statements, no 'explaining.' Two — don't consent to searches. Three — call us. [pause] Our line is answered twenty-four-seven by an actual attorney, because nobody schedules an arrest for business hours. We'll talk bond and the next move tonight.",Arrested right now? → (972) 370-5060 · 24/7,Save this before you need it 🌙,#arrested #knowyourrights #jailrelease #texas #criminaldefense,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
25,'I'll Just Plead Guilty to Get It Over With',The Quiet-Plea Trap,Njeri,"speed 0.97×, tone *wise, gently corrective, warm but firm*",Top-left,31,"I hear it constantly: *'I just want this gone — I'll plead guilty and move on.'* [pause] I understand the exhaustion. (beat) But a quick plea can carry consequences nobody warned you about — a permanent record, license issues, future enhancements, doors that quietly close years later. [pause] Pleading guilty is a *right* — but it should be a decision, not a reflex. Let an attorney look first. It's free, and it might change everything.","Before you plead, talk to us — free → (972) 370-5060",The fastest option is rarely the cheapest 🛑,#criminaldefense #plea #knowyourrights #texas #lawyer,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
